,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
169,有色金属,000060,中金岭南,196.0,196.0,17.56,1.35,5.25,-1.4,6.7,17.19,14.13
170,钢铁行业,833751,惠同新材,21.0,20.0,43.21,5.43,23.71,0.1,2.1,27.2,100.08
171,钢铁行业,605158,华达新材,46.0,46.0,33.33,1.83,8.97,-0.9,-2.9,2.28,-28.81
172,钢铁行业,603995,甬金股份,66.0,66.0,10.85,1.15,17.99,-0.8,-1.2,5.39,1.12
173,钢铁行业,603878,武进不锈,32.0,32.0,21.11,1.22,5.68,-0.0,-1.6,8.19,0.89
174,钢铁行业,601969,海南矿业,162.0,160.0,28.85,2.29,8.1,-2.6,-1.3,8.72,15.55
175,钢铁行业,601686,友发集团,84.0,84.0,14.67,1.3,5.85,0.1,-9.2,2.45,13.15
176,钢铁行业,601121,宝地矿业,53.0,25.0,43.38,1.73,6.68,-0.3,2.6,10.41,-4.02
177,钢铁行业,601003,柳钢股份,144.0,144.0,19.57,1.65,5.62,-2.2,-17.6,61.03,103.62
178,钢铁行业,600507,方大特钢,127.0,127.0,15.67,1.32,5.49,-2.0,-7.4,27.08,36.57
179,钢铁行业,600382,广东明珠,42.0,42.0,18.23,1.54,6.06,-0.2,10.2,12.01,40.6
180,钢铁行业,300881,盛德鑫泰,39.0,20.0,22.94,3.78,35.27,-1.5,-13.4,15.68,18.55
181,钢铁行业,002756,永兴材料,195.0,141.0,24.36,1.56,36.22,-6.6,-1.0,19.54,-2.71
182,钢铁行业,002478,常宝股份,50.0,40.0,9.85,0.87,5.57,-0.3,-1.6,6.3,9.86
183,钢铁行业,002443,金洲管道,37.0,37.0,32.32,1.09,7.18,0.3,5.1,15.62,26.41
184,钢铁行业,002110,三钢闽光,106.0,106.0,38.63,0.55,4.38,-2.5,-10.2,26.22,31.93
185,钢铁行业,002075,沙钢股份,130.0,130.0,41.67,1.99,5.91,-7.5,-3.3,4.6,-5.29
186,钢铁行业,001203,大中矿业,177.0,152.0,21.85,2.82,11.75,-3.2,-3.4,21.76,38.89
187,钢铁行业,000923,河钢资源,98.0,95.0,18.76,1.0,15.07,-1.3,3.9,16.19,12.46
188,钢铁行业,000778,新兴铸管,147.0,145.0,18.25,0.57,3.72,-0.4,-4.9,9.41,-2.62
189,钢铁行业,000655,金岭矿业,53.0,53.0,17.47,1.53,8.82,-1.2,4.6,28.57,46.03
190,航天航空,688510,航亚科技,59.0,59.0,47.85,5.03,22.67,-1.1,-12.3,3.85,31.65
191,航天航空,688239,航宇科技,73.0,73.0,40.19,3.8,38.08,-1.7,-4.5,22.8,33.33
192,航天航空,300775,三角防务,136.0,132.0,25.19,2.37,24.87,-7.0,-10.2,3.75,0.57
193,商业百货,603708,家家悦,74.0,74.0,20.26,3.09,11.61,-0.2,9.7,14.16,2.65
194,商业百货,603214,爱婴室,26.0,26.0,28.04,2.25,18.92,-3.7,-8.8,-3.22,-15.19
195,商业百货,603101,汇嘉时代,55.0,55.0,40.9,3.9,11.66,0.4,45.6,47.41,25.65
196,商业百货,601116,三江购物,68.0,68.0,37.16,2.13,12.4,-1.3,7.2,15.56,16.1
