,行业,代码
899,汽车零部件,002921
900,汽车零部件,603089
901,汽车零部件,301298
902,汽车零部件,002434
903,汽车零部件,605128
904,汽车零部件,836221
905,汽车零部件,833533
906,汽车零部件,300258
907,汽车零部件,002454
908,汽车零部件,002536
909,汽车零部件,603982
910,汽车零部件,688071
911,汽车零部件,600960
912,汽车零部件,002708
913,汽车零部件,301020
914,汽车零部件,002547
915,汽车零部件,873690
916,汽车零部件,301119
917,汽车零部件,301488
918,汽车零部件,600742
919,汽车零部件,002664
920,汽车零部件,002283
921,汽车零部件,000570
922,汽车零部件,300978
923,汽车零部件,600741
924,汽车零部件,831278
925,汽车零部件,605068
926,汽车零部件,002448
927,汽车零部件,002510
928,汽车零部件,301613
929,汽车零部件,603997
930,汽车零部件,603211
931,汽车零部件,000887
932,汽车零部件,301229
933,汽车零部件,603178
934,汽车零部件,001311
935,汽车零部件,603730
936,汽车零部件,603788
937,汽车零部件,002863
938,汽车零部件,605255
939,汽车零部件,301007
940,汽车零部件,002284
941,汽车零部件,600218
942,汽车零部件,836270
943,汽车零部件,605151
944,汽车零部件,601279
945,汽车零部件,603633
946,汽车零部件,300912
947,汽车零部件,002101
948,汽车零部件,688326
949,汽车零部件,603190
950,汽车零部件,603335
951,汽车零部件,301133
952,汽车零部件,002976
953,汽车零部件,603949
954,汽车零部件,301539
955,汽车零部件,603701
956,汽车零部件,301170
957,汽车零部件,301181
958,汽车零部件,603306
959,汽车零部件,001319
960,汽车零部件,002406
961,汽车零部件,300707
962,汽车零部件,002906
963,汽车零部件,300893
964,汽车零部件,000700
965,汽车零部件,600699
966,汽车零部件,000030
967,汽车零部件,301022
968,汽车零部件,600676
969,汽车零部件,300375
970,汽车零部件,002126
971,汽车零部件,301397
972,汽车零部件,603305
973,汽车零部件,001278
974,汽车零部件,603107
975,汽车零部件,601689
976,汽车零部件,603048
977,汽车零部件,301072
978,汽车零部件,831195
979,汽车零部件,301225
980,汽车零部件,838837
981,汽车零部件,002997
982,汽车零部件,688667
983,汽车零部件,603085
984,汽车零部件,600626
985,汽车零部件,603023
986,汽车零部件,600081
987,汽车零部件,831906
988,汽车零部件,600933
989,汽车零部件,300681
990,汽车零部件,300507
991,汽车零部件,002870
992,汽车零部件,603158
993,汽车零部件,832000
994,汽车零部件,002593
995,汽车零部件,603035
996,汽车零部件,300446
997,汽车零部件,603006
998,汽车零部件,603348
999,汽车零部件,300176
1000,汽车零部件,001260
1001,汽车零部件,603768
1002,汽车零部件,838171
1003,汽车零部件,300745
1004,汽车零部件,002813
1005,汽车零部件,600480
1006,汽车零部件,870436
1007,汽车零部件,301581
1008,汽车零部件,603917
1009,汽车零部件,002239
1010,汽车零部件,000581
1011,汽车零部件,002085
1012,汽车零部件,301499
1013,汽车零部件,301552
1014,汽车零部件,002662
1015,汽车零部件,603202
1016,汽车零部件,300695
1017,汽车零部件,301357
1018,汽车零部件,603409
1019,汽车零部件,605005
1020,汽车零部件,000338
1021,汽车零部件,301173
1022,汽车零部件,002328
1023,汽车零部件,832978
1024,汽车零部件,000901
1025,汽车零部件,002590
1026,汽车零部件,301535
1027,汽车零部件,001282
1028,汽车零部件,603179
1029,汽车零部件,300928
1030,汽车零部件,603210
1031,汽车零部件,200581
1032,汽车零部件,002355
1033,汽车零部件,301560
1034,汽车零部件,603197
1035,汽车零部件,603161
1036,汽车零部件,000559
1037,汽车零部件,300694
1038,汽车零部件,002766
1039,汽车零部件,688533
1040,汽车零部件,603037
1041,汽车零部件,300585
1042,汽车零部件,600523
1043,汽车零部件,002920
