序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
110,688501,青达环保,29.85,7.34,2.04,71981.0,209611157.0,8.23,30.3,28.01,28.01,27.81,3.3,5.85,13.37,3.68,3673669350.0,3673669350.0,0.4,0.51,39.55,112.76
111,301196,唯科科技,70.46,7.33,4.81,77901.0,534846119.1,9.81,70.97,64.53,65.6,65.65,1.98,6.25,28.51,2.82,8825572779.0,8777714585.0,0.06,0.07,52.35,114.36
112,688229,博睿数据,64.55,7.23,4.35,83172.0,566607000.0,12.84,72.24,64.51,66.01,60.2,5.42,18.73,-77.84,6.98,2866020000.0,2866020000.0,-0.42,-0.39,32.46,54.39
113,300326,ST凯利,6.53,7.22,0.44,428820.0,270781706.76,8.37,6.55,6.04,6.17,6.09,1.55,6.02,53.8,1.7,4682181954.0,4649758924.0,0.0,-0.15,8.11,0.46
114,300983,尤安设计,21.18,7.19,1.42,45693.0,96663436.54,14.27,22.5,19.68,19.87,19.76,6.68,3.86,-3173.84,1.28,3659904000.0,2505222609.0,-0.42,0.14,29.15,25.25
115,600620,天宸股份,6.13,7.17,0.41,327401.0,197486964.0,7.52,6.26,5.83,5.98,5.72,5.33,4.77,317.9,2.85,4209330703.0,4209330703.0,-0.81,-0.49,28.24,7.17
116,002873,新天药业,10.51,7.14,0.7,370931.0,390986676.61,10.4,10.79,9.77,9.77,9.81,6.81,15.53,153.17,2.17,2565531001.0,2509566029.0,-0.38,-0.47,22.35,12.17
117,002623,亚玛顿,28.64,7.11,1.9,513060.0,1424848419.73,11.18,28.93,25.94,26.75,26.74,1.01,25.83,282.27,1.97,5701150000.0,5688938620.0,0.03,1.34,115.5,91.57
118,603040,新坐标,42.32,7.11,2.81,71440.0,293886271.0,7.26,42.37,39.5,39.5,39.51,2.04,5.29,21.61,4.28,5776125439.0,5715882919.0,-0.02,0.0,73.58,90.46
119,688131,皓元医药,60.28,7.05,3.97,88631.0,509181486.0,9.66,60.48,55.04,55.81,56.31,1.36,4.28,51.11,4.55,12752951091.0,12474927072.0,-0.25,-0.13,67.44,69.56
120,688143,长盈通,39.6,7.03,2.6,46118.0,179548114.0,9.95,40.35,36.67,37.93,37.0,1.99,4.88,146.39,4.11,4846027270.0,3743094010.0,-0.03,0.08,31.0,79.84
121,300870,欧陆通,128.4,7.02,8.42,65618.0,840724307.27,6.5,131.8,124.0,125.25,119.98,2.51,6.13,69.36,5.88,13753370960.0,13753370960.0,0.0,-0.11,20.1,20.9
122,002990,盛视科技,32.07,7.01,2.1,220729.0,707744614.88,10.84,32.97,29.72,29.72,29.97,2.13,16.46,69.24,3.52,8380127933.0,4300439093.0,0.0,-0.06,15.53,39.68
123,601212,白银有色,3.52,6.99,0.23,3966725.0,1405438994.0,8.81,3.62,3.33,3.4,3.29,4.1,5.36,-147.82,1.74,26064806279.0,26064806279.0,-0.28,0.28,28.0,26.62
124,300588,熙菱信息,15.8,6.97,1.03,178272.0,274940141.8,7.52,15.82,14.71,14.98,14.77,1.93,10.08,-50.36,10.06,3025242274.0,2793788074.0,-0.06,0.13,39.08,1.54
