,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
238,通用设备,000530,冰山冷热,57.08548672,40.62261965,47.4,1.83,-1.36,25.0,31.71,13.59
239,通用设备,600114,东睦股份,126.79008122,126.79008122,28.38,4.64,-1.39,8.02,12.71,29.62
240,通用设备,002026,山东威达,52.20303477,50.12475926,22.03,1.42,-1.42,-0.59,17.44,20.43
241,通用设备,002445,中南文化,60.60349204,60.34271481,31.2,2.72,-1.55,2.42,15.38,4.08
242,通用设备,301317,鑫磊股份,54.922186,15.65312,3.49,3.93,-1.69,7.24,81.32,78.27
243,通用设备,002046,国机精工,86.23170707,84.78697792,24.36,2.07,-1.69,3.87,10.59,16.61
244,通用设备,002559,亚威股份,52.94237181,48.18924456,36.86,3.11,-1.73,4.33,5.94,8.2
245,通用设备,603969,XD银龙股,62.5003776,61.4476287,22.44,2.55,-1.75,7.47,24.4,9.13
246,通用设备,300092,科新机电,35.171748,26.94682727,18.21,2.18,-2.38,0.7,14.44,13.63
247,通用设备,300083,创世纪,139.3489987,124.96704741,35.45,2.71,-2.43,5.28,1.82,28.57
248,通用设备,300179,四方达,49.31974625,38.12743818,36.09,4.23,-2.81,-2.21,18.99,-8.14
249,通用设备,601177,杭齿前进,75.801755,74.331148,35.33,2.86,-3.52,7.79,6.11,126.03
250,通用设备,000969,安泰科技,136.27813718,134.0568894,41.27,2.52,-3.77,3.6,12.78,18.45
251,通用设备,002965,祥鑫科技,95.08578263,71.4527625,27.67,2.28,-4.7,-14.84,1.93,38.23
252,化学制药,000915,华特达因,77.56372154,77.51981439,10.63,2.95,2.54,8.0,17.09,26.43
253,化学制药,002019,亿帆医药,178.07950844,123.19180531,29.07,2.08,2.23,9.55,33.09,37.85
254,化学制药,600267,海正药业,146.25947991,146.17905141,18.83,1.76,2.14,30.38,37.23,50.62
255,化学制药,688799,华纳药厂,70.65016,70.65016,42.86,3.93,1.28,7.28,105.74,82.43
256,化学制药,430017,星昊医药,28.72549818,28.52106471,28.69,1.86,1.22,15.94,26.84,72.09
