,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1583,电池,300207,欣旺达,375.43701078,348.15676887,24.3,1.57,0.94,12.7,0.41,11.88,-8.21
1584,电池,001283,豪鹏科技,49.58321777,35.58705399,38.96,2.37,0.85,23.51,0.79,25.66,7.07
1585,电池,002245,蔚蓝锂芯,158.7520128,149.29670319,28.0,2.27,0.42,12.12,0.4,10.06,29.63
1586,电池,300919,中伟股份,311.9057426,303.41786278,25.35,1.56,0.04,6.1,0.27,4.84,-6.77
1587,电池,833523,德瑞锂电,26.35861621,21.08648128,19.21,4.4,-0.04,-0.12,0.01,8.15,32.15
1588,电池,688819,天能股份,269.2717,269.2717,16.01,1.69,-0.04,7.07,0.13,11.24,3.32
1589,电池,300037,新宙邦,252.00156176,182.06627436,27.41,2.68,-0.08,9.51,0.37,13.54,-9.02
1590,电池,688778,厦钨新能,228.06990041,228.06990041,48.87,2.62,-0.3,25.52,0.82,17.84,19.8
1591,电池,836239,长虹能源,64.65454984,24.7128713,27.92,7.19,-0.33,12.76,0.5,15.33,77.11
1592,电池,603031,安孚科技,61.900384,61.900384,21.74,3.33,-0.4,12.04,0.38,10.06,3.39
1593,电池,688006,杭可科技,116.08615483,116.08615483,25.07,2.23,-0.41,13.63,0.45,14.12,8.4
1594,电池,301222,浙江恒威,29.54881944,8.54924544,35.42,2.11,-0.51,11.17,0.39,17.49,15.94
1595,电池,601311,骆驼股份,101.59445382,101.59445382,10.73,1.07,-0.58,7.32,0.26,12.61,8.25
1596,电池,688155,先惠技术,59.84109391,59.84109391,25.67,3.0,-0.7,8.6,0.55,17.84,26.7
1597,电池,835185,贝特瑞,254.77853467,250.67309732,36.09,2.13,-0.87,0.63,0.03,10.08,17.65
1598,电池,000049,德赛电池,86.31288703,86.28962303,44.34,1.33,-0.95,7.11,0.22,11.03,-3.19
1599,电池,603659,璞泰来,386.61321579,386.47459285,19.82,2.09,-2.91,17.2,0.6,5.67,14.93
1600,电池,300450,先导智能,378.69822162,377.06802512,25.92,3.18,-3.43,22.23,0.67,25.22,21.14
1601,电池,002580,圣阳股份,61.18154026,60.97527024,25.2,2.75,-7.6,-10.76,-0.27,12.24,59.72
1602,水泥建材,600585,海螺水泥,1226.25861678,925.53117678,16.93,0.65,1.77,2.4,0.02,-6.2,0.3
1603,水泥建材,000935,四川双马,145.8171036,145.8171036,31.28,1.92,0.79,13.4,0.64,14.44,31.91
1604,水泥建材,002541,鸿路钢构,122.54636368,88.12055355,22.43,1.33,0.23,-0.83,-0.09,-10.71,1.08
1605,水泥建材,600801,华新水泥,269.02203698,173.94926898,28.75,0.88,0.21,11.04,0.31,-2.71,11.17
1606,水泥建材,000789,万年青,48.24314861,48.24314861,34.12,0.74,0.1,10.28,0.33,23.98,24.23
1607,水泥建材,600477,杭萧钢构,64.6727759,64.6727759,32.79,1.28,-0.04,7.42,0.24,4.6,6.23
1608,水泥建材,003037,三和管桩,51.46051484,50.85921484,37.18,1.86,-0.48,12.37,0.44,41.98,17.35
1609,水泥建材,000672,上峰水泥,85.98537642,85.98537642,26.89,1.02,-0.68,7.39,0.26,17.95,26.17
1610,水泥建材,600496,精工钢构,65.87311569,65.87311569,13.27,0.76,-0.81,9.27,0.25,12.97,12.59
1611,水泥建材,002233,塔牌集团,97.0511863,96.98687623,14.7,0.84,-1.08,7.13,0.14,8.53,12.59
1612,水泥建材,600668,尖峰集团,51.19967361,51.19967361,2.2,0.9,-1.43,3.57,0.15,39.46,46.6
1613,水泥建材,600678,四川金顶,33.537939,33.537939,46.5,13.25,-1.51,10.13,0.31,40.5,46.94
1614,水泥建材,002743,富煌钢构,26.37726977,26.33500127,37.86,0.82,-3.47,-26.78,-1.02,-0.16,-7.76
1615,装修建材,002225,濮耐股份,62.54600765,51.09065116,28.5,1.85,2.08,28.42,0.89,22.82,25.81
1616,装修建材,603137,恒尚节能,27.84245343,11.22221343,14.64,2.24,1.91,11.42,0.38,24.14,43.58
1617,装修建材,002372,伟星新材,167.64160014,154.88135888,36.86,3.79,0.91,-5.55,-0.2,-6.23,-13.26
1618,装修建材,603816,顾家家居,205.5550689,203.12277437,9.9,2.22,0.86,7.45,0.23,10.81,-4.54
1619,装修建材,002043,兔 宝 宝,83.78833355,74.14377413,20.71,2.9,0.54,0.7,-0.01,-1.56,-12.89
1620,装修建材,300737,科顺股份,56.83037998,45.41011313,35.08,1.25,0.5,9.09,0.27,17.97,7.34
1621,装修建材,603801,志邦家居,44.69818501,44.47742382,26.56,1.41,0.5,5.7,0.19,-0.39,-16.13
1622,装修建材,603661,恒林股份,40.53803954,40.53803954,19.54,1.11,0.26,11.96,0.4,12.77,-2.57
